assignment_id,agreement,image,most_common_class,most_common_verdict,verdicts,classes,final_verdict,comment
00022bbe55--63764ee77798532317b6ae8d,0.3333333333333333,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.bf2a4e93-569c-415b-a8bb-6e4eb9992d2c.jpg,cup,yes,"Counter({'yes': 2, 'internet': 1})","Counter({'cup': 1, 'other': 1, 'glass': 1})",REJECT,doesn't satisfy the requrements
00022bbe55--63764ee98ccdeb4a26d13105,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.f3fedd73-fcd6-4c3e-90be-af3fc47882d6.jpg,cup,yes,"Counter({'yes': 2, 'internet': 1})",Counter({'cup': 3}),ACCEPT,good job
00022bbe55--63764eeb5a4d4b776b0def19,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.bfb099cc-c797-45a3-a7f9-416bf83d722a.jpg,cup,yes,Counter({'yes': 3}),Counter({'cup': 3}),ACCEPT,good job
00022bbe55--63764ef1aabecc6bd16bc278,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.78173590-5d70-4342-b33d-6bb1df8b0ec6.jpg,plate,yes,Counter({'yes': 3}),Counter({'plate': 3}),ACCEPT,good job
00022bbe55--63764ef2c9e3e243ce841768,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.488f2e9e-c3fb-48ae-b775-e9f0b11f32db.jpg,knife,yes,Counter({'yes': 3}),Counter({'knife': 3}),ACCEPT,good job
00022bbe55--63764ef5ee7d356a0865f244,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.ded7a066-8bdc-478f-ad58-6085cf9c5b63.jpg,cup,yes,Counter({'yes': 3}),"Counter({'cup': 2, 'glass': 1})",ACCEPT,good job
00022bbe55--63764efab2c0c25adccf07c1,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.b19a5c62-b1c7-4a8f-a5db-c5a4d5687dcd.jpg,other,other,Counter({'other': 3}),Counter({'other': 3}),REJECT,doesn't satisfy the requrements
00022bbe55--63764efbee7d356a0865f33c,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.3e88322f-7c02-451f-858b-52ae79eed248.jpg,glass,yes,Counter({'yes': 3}),"Counter({'glass': 2, 'cup': 1})",ACCEPT,good job
00022bbe55--63764eff2e3a4b54f6076415,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.75ffbde5-f401-489f-9ca1-bd017da96118.jpg,spoon,yes,Counter({'yes': 3}),Counter({'spoon': 3}),ACCEPT,good job
00022bbe55--63764f096b2d840c16e69d3e,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.7bc9b116-d226-448a-b2f5-74acdcc3cda0.jpg,plate,yes,Counter({'yes': 3}),Counter({'plate': 3}),ACCEPT,good job
00022bbe55--63764f097798532317b6b1e1,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.012d1261-dc2b-438e-8532-ebd4b9c77d9f.jpg,spoon,yes,Counter({'yes': 3}),Counter({'spoon': 3}),ACCEPT,good job
00022bbe55--63764f0bbb79c0321f6ce212,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.3cff10fb-9906-4aea-b9cf-51c142b09cf1.jpg,other,other,"Counter({'other': 2, 'yes': 1})",Counter({'other': 3}),REJECT,doesn't satisfy the requrements
00022bbe55--63764f0cd3c878690bc5c254,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.a3da0582-366d-4428-a595-fdd750be7562.jpg,plate,yes,Counter({'yes': 3}),Counter({'plate': 3}),ACCEPT,good job
00022bbe55--63764f0e9376542ef77938ef,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.a18f603a-5388-48e3-8edb-a2acf775ee20.jpg,other,other,Counter({'other': 3}),Counter({'other': 3}),REJECT,doesn't satisfy the requrements
00022bbe55--63764f0f6b2d840c16e69da3,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.21cfd900-7e5b-4685-9f6f-3e2f4f15f9f5.jpg,knife,yes,Counter({'yes': 3}),Counter({'knife': 3}),ACCEPT,good job
00022bbe55--63764f0f6b2d840c16e69da7,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.21282f52-32bc-4ab7-9ce4-334b60f395eb.jpg,other,other,Counter({'other': 3}),"Counter({'other': 2, 'plate': 1})",REJECT,doesn't satisfy the requrements
00022bbe55--63764f16bdfa5861cdecb6c6,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.9f3b5a21-5aa9-4b01-8aae-6919ab3349de.jpg,fork,yes,Counter({'yes': 3}),Counter({'fork': 3}),ACCEPT,good job
00022bbe55--63764f19aabecc6bd16bc9f1,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.d21d5f80-8821-4ca8-ac1d-b4c64707834d.jpg,plate,yes,Counter({'yes': 3}),"Counter({'plate': 2, 'other': 1})",ACCEPT,good job
00022bbe55--63764f1aaabecc6bd16bca43,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.786c40fc-8c55-4d9e-ac8e-4b00027bfb74.jpg,other,other,Counter({'other': 3}),Counter({'other': 3}),REJECT,doesn't satisfy the requrements
00022bbe55--63764f1adb0e8f36d8de43b7,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.19a1d116-ff3c-45e9-82be-ba17212c14e0.jpg,glass,yes,Counter({'yes': 3}),Counter({'glass': 3}),ACCEPT,good job
00022bbe55--63764f1c801461320b5889b2,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.a084cb76-4582-4142-92ca-92518c2185d3.jpg,glass,yes,Counter({'yes': 3}),Counter({'glass': 3}),ACCEPT,good job
00022bbe55--63764f1e8cae8c05c81541a7,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.a3671d6b-5af2-4936-a1ec-6f2eec80fc8d.jpg,other,other,Counter({'other': 3}),Counter({'other': 3}),REJECT,doesn't satisfy the requrements
00022bbe55--63764f208ccdeb4a26d136b2,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.4b3a3c4f-efa5-4ba1-8e26-b3703878d7ee.jpg,plate,yes,"Counter({'yes': 2, 'internet': 1})",Counter({'plate': 3}),ACCEPT,good job
00022bbe55--63764f2114cd56673687a945,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.37d70a57-5126-4248-ad74-c87deb78ad3b.jpg,plate,yes,Counter({'yes': 3}),Counter({'plate': 3}),ACCEPT,good job
00022bbe55--63764f228feaf022830c0227,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.87f77c7f-a8a5-4fb0-ad69-a2821d58db52.jpg,plate,yes,Counter({'yes': 3}),Counter({'plate': 3}),ACCEPT,good job
00022bbe55--63764f2e8cae8c05c81543a6,0.3333333333333333,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.95e33c1e-37c9-43d2-9c31-feb2a3bd55e1.jpg,cup,yes,Counter({'yes': 3}),"Counter({'cup': 1, 'other': 1, 'glass': 1})",REJECT,doesn't satisfy the requrements
00022bbe55--63764f328cae8c05c81543fd,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.ed7e36e7-3ed5-41d1-8662-e9bbc0e61258.jpg,cup,yes,Counter({'yes': 3}),"Counter({'cup': 2, 'spoon': 1})",ACCEPT,good job
00022bbe55--63764f3419c2d72a00a301a2,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.35ca8e40-4c8a-4235-aea8-17f3fa2c0bad.jpg,other,yes,"Counter({'yes': 2, 'other': 1})","Counter({'other': 2, 'glass': 1})",REJECT,doesn't satisfy the requrements
00022bbe55--63764f3719c2d72a00a3023c,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.a120dbd7-faf1-4267-9301-ba179f832f35.jpg,glass,yes,Counter({'yes': 3}),"Counter({'glass': 2, 'other': 1})",ACCEPT,good job
00022bbe55--63764f37db0e8f36d8de4895,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.47c1a88d-a547-4eb7-9e69-a33dd4deaf08.jpg,knife,yes,Counter({'yes': 3}),"Counter({'knife': 2, 'glass': 1})",ACCEPT,good job
00022bbe55--63764f398ccdeb4a26d138c6,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.1545b79c-977e-426c-934f-167591bbd1ad.jpg,cup,yes,Counter({'yes': 3}),"Counter({'cup': 2, 'glass': 1})",ACCEPT,good job
00022bbe55--63764f3a8ccdeb4a26d138d9,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.ebcf1534-996f-4162-94d4-df1a5ffa5669.jpg,glass,yes,Counter({'yes': 3}),Counter({'glass': 3}),ACCEPT,good job
00022bbe55--63764f3e665694285308a893,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.759a5be4-224b-4fac-a60b-a8b7a862cfa9.jpg,cup,yes,Counter({'yes': 3}),"Counter({'cup': 2, 'glass': 1})",ACCEPT,good job
00022bbe55--63764f3f7545ab02b67dcb72,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.05139cc9-b2db-4508-9b66-8bb093c5cf68.jpg,cup,yes,"Counter({'yes': 2, 'other': 1})","Counter({'cup': 2, 'other': 1})",ACCEPT,good job
00022bbe55--63764f48c9e3e243ce842d15,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.12e9048a-1ba8-4847-8ee3-5d1521dece28.jpg,cup,yes,Counter({'yes': 3}),"Counter({'cup': 2, 'glass': 1})",ACCEPT,good job
00022bbe55--63764f5c5a4d4b776b0df9bb,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.b008109d-ea29-41c8-92b4-09ba983f29e4.jpg,cup,yes,Counter({'yes': 3}),"Counter({'cup': 2, 'glass': 1})",ACCEPT,good job
00022bbe55--63764f66b1ad940367eddb4a,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.43af97d5-c015-4174-9713-c505900d6997.jpg,knife,yes,Counter({'yes': 3}),"Counter({'knife': 2, 'cup': 1})",ACCEPT,good job
00022bbe55--63764f698ab0c64deb61771b,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.95de8894-6a50-4250-ba0c-c358ae3b8c6c.jpg,plate,yes,Counter({'yes': 3}),"Counter({'plate': 2, 'cup': 1})",ACCEPT,good job
00022bbe55--63764f6a7545ab02b67dd46f,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.a7258b30-47bf-471f-a364-21c99fa79b08.jpg,plate,yes,Counter({'yes': 3}),Counter({'plate': 3}),ACCEPT,good job
00022bbe55--637650268408eb4b9994d160,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.5b1d40e8-0998-4b7a-b591-36adfc27b8d3.jpg,knife,yes,Counter({'yes': 3}),Counter({'knife': 3}),ACCEPT,good job
00022bbe55--637650277545ab02b67deed1,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.2b6f5284-1b18-4a33-82d9-10cf5cc8c3a3.jpg,cup,yes,Counter({'yes': 3}),"Counter({'cup': 2, 'glass': 1})",ACCEPT,good job
00022bbe55--63765152801461320b58ba4c,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.1d5b48fa-8d14-4857-a34a-37fffcb8f7c0.jpg,glass,yes,Counter({'yes': 3}),Counter({'glass': 3}),ACCEPT,good job
00022bbe55--637651b1b1ad940367ee12ca,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.b399f4b1-98b5-4036-9fcb-a44e7ff73a67.jpg,knife,yes,Counter({'yes': 3}),Counter({'knife': 3}),ACCEPT,good job
00022bbe55--637651b23501693ae6515dfa,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.44204083-ebe7-4c8d-8196-78c93fc8a878.jpg,fork,yes,Counter({'yes': 3}),Counter({'fork': 3}),ACCEPT,good job
00022bbe55--637651b8b58f5e17ab52efe9,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.dbf2e794-024b-4e4d-8a2f-fc0d878d4851.jpg,cup,yes,Counter({'yes': 3}),Counter({'cup': 3}),ACCEPT,good job
00022bbe55--637651b9bb79c0321f6d4aef,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.3fb6e925-15f8-4107-af96-42648426f4d8.jpg,spoon,yes,Counter({'yes': 3}),"Counter({'spoon': 2, 'cup': 1})",ACCEPT,good job
00022bbe55--637651bd8ab0c64deb61c55d,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.f58419bb-d95f-4101-a7c8-f06ab6f19665.jpg,plate,yes,Counter({'yes': 3}),Counter({'plate': 3}),ACCEPT,good job
00022bbe55--637651beb04cf443263911d2,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.a0f3bc5f-23d0-43d9-ba4d-4b77a7d9adc2.jpg,cup,yes,Counter({'yes': 3}),Counter({'cup': 3}),ACCEPT,good job
00022bbe55--637651bebdfa5861cdecf2da,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.c4476b8e-84ad-4577-9ac8-439c57e70699.jpg,plate,yes,Counter({'yes': 3}),Counter({'plate': 3}),ACCEPT,good job
00022bbe55--637651ca8feaf022830c3a5d,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.2ac2b3b3-ea1d-4307-bba0-73f02f5fec5f.jpg,cup,yes,Counter({'yes': 3}),Counter({'cup': 3}),ACCEPT,good job
00022bbe55--637651d0db0e8f36d8de85d7,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.effc4380-3fc8-4f73-8ecb-02ed831779a7.jpg,cup,yes,Counter({'yes': 3}),Counter({'cup': 3}),ACCEPT,good job
00022bbe55--637651d5d3c878690bc61ef1,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.ea33642c-edc1-4b8d-aa2f-312fbbe1ee33.jpg,plate,yes,"Counter({'yes': 2, 'internet': 1})",Counter({'plate': 3}),ACCEPT,good job
00022bbe55--637651d87adbfb533ecbf8fa,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.807c4169-eefb-4839-8896-330cc251e6d6.jpg,knife,yes,Counter({'yes': 3}),Counter({'knife': 3}),ACCEPT,good job
00022bbe55--637652007c35c13555f08b4c,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.140ad3b3-d043-4b99-a3d2-6913bc0a9afc.jpg,spoon,yes,Counter({'yes': 3}),Counter({'spoon': 3}),ACCEPT,good job
00022bbe55--63765257ee7d356a08663c17,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.ae28e24a-cb33-4c2f-b947-02f7f483c1e3.jpg,glass,yes,"Counter({'yes': 2, 'internet': 1})",Counter({'glass': 3}),ACCEPT,good job
00022bbe55--6376537814cd566736880dcd,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.425a68b0-12e0-46cd-8196-e8dab872c653.jpg,plate,yes,Counter({'yes': 3}),Counter({'plate': 3}),ACCEPT,good job
00022bbe55--637654273501693ae6518ea6,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.3165c08f-0ab7-436d-bd64-607b2f97da05.jpg,plate,yes,Counter({'yes': 3}),Counter({'plate': 3}),ACCEPT,good job
00022bbe55--6376543e5a4d4b776b0e6222,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.7d67d38c-c148-48c9-b71c-cfe28c1a4f2d.jpg,plate,yes,"Counter({'yes': 2, 'internet': 1})",Counter({'plate': 3}),ACCEPT,good job
00022bbe55--63765458db0e8f36d8dec1fe,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.57b1df5d-c28e-4ca5-8c7a-95ab5388fc8d.jpg,fork,yes,Counter({'yes': 3}),Counter({'fork': 3}),ACCEPT,good job
00022bbe55--6376545d441f157a2a404a98,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.0016a837-6584-4276-82b3-211a053e84f8.jpg,cup,yes,Counter({'yes': 3}),"Counter({'cup': 2, 'glass': 1})",ACCEPT,good job
00022bbe55--637656b37798532317b7989e,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.c3a1afa4-d64d-409d-b91e-f7b4e1523973.jpg,other,yes,"Counter({'yes': 2, 'other': 1})",Counter({'other': 3}),REJECT,doesn't satisfy the requrements
00022bbe55--63765707b04cf4432639ac4d,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36421205/thumbnails/eu.5bfc44ec-f857-4568-a387-dfdd9782bc21.jpg,other,yes,"Counter({'yes': 2, 'other': 1})",Counter({'other': 3}),REJECT,doesn't satisfy the requrements
00022bd050--63769539838d5353368fe7cb,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.e2020a23-9b8f-45cc-9be3-a86c49c90eaf.jpg,fork,yes,Counter({'yes': 6}),Counter({'fork': 6}),ACCEPT,good job
00022bd050--637695418feaf022830f70cb,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.b2a561a5-8bc3-4a8e-8518-161a9e3cec39.jpg,fork,yes,Counter({'yes': 6}),Counter({'fork': 6}),ACCEPT,good job
00022bd050--637695457c35c13555f38538,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.1b137361-25b8-4243-bd36-332dad2822e9.jpg,other,yes,"Counter({'yes': 4, 'other': 2})","Counter({'other': 5, 'fork': 1})",REJECT,doesn't satisfy the requrements
00022bd050--6376954cea9fec14e37aee61,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.962b2cff-ee75-4456-b251-c9039cba74cc.jpg,cup,yes,"Counter({'yes': 4, 'internet': 2})","Counter({'cup': 5, 'other': 1})",ACCEPT,good job
00022bd050--6376955747f33832e643c16a,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.d5f7cacd-a6bc-4d6d-811f-a36da4f75bf9.jpg,plate,yes,"Counter({'yes': 5, 'internet': 1})",Counter({'plate': 6}),ACCEPT,good job
00022bd050--6376955a7adbfb533ecf0a86,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.101c84fc-60f5-43f2-87b8-3b008b8941e5.jpg,fork,yes,Counter({'yes': 6}),Counter({'fork': 6}),ACCEPT,good job
00022bd050--63769560d3c878690bc9b137,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.c48d33d4-be94-4e4b-92bd-c0a4809a380c.jpg,cup,yes,Counter({'yes': 6}),Counter({'cup': 6}),ACCEPT,good job
00022bd050--6376956166569428530caff3,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.ce81f814-5a55-40be-88d3-1598577e72cd.jpg,spoon,yes,Counter({'yes': 6}),Counter({'spoon': 6}),ACCEPT,good job
00022bd050--637695678feaf022830f7219,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.78993ff3-183a-481d-a54d-1035bb16261a.jpg,plate,yes,Counter({'yes': 6}),Counter({'plate': 6}),ACCEPT,good job
00022bd050--63769569b88cb76558c174f2,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.825c4065-ce53-4f4c-8c5e-92a5d4193cfb.jpg,cup,yes,Counter({'yes': 6}),Counter({'cup': 6}),ACCEPT,good job
00022bd050--637695728cae8c05c8193631,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.d19f2a3f-f4e3-478f-822a-772775284fa0.jpg,plate,yes,"Counter({'yes': 5, 'other': 1})","Counter({'plate': 5, 'other': 1})",ACCEPT,good job
00022bd050--6376957456a5a54ced730543,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.8688abfa-d807-45b7-a883-d7dfa4d59d61.jpg,plate,yes,Counter({'yes': 6}),Counter({'plate': 6}),ACCEPT,good job
00022bd050--63769575ee7d356a0869c191,0.5,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.c5ab42c1-7245-438f-803e-3250d5000ef9.jpg,plate,internet,"Counter({'internet': 3, 'yes': 2, 'other': 1})","Counter({'plate': 3, 'other': 2, 'glass': 1})",REJECT,doesn't satisfy the requrements
00022bd050--6376957bea9fec14e37af894,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.50c60174-8520-4e38-af8b-68b1fb78c8d8.jpg,plate,yes,Counter({'yes': 6}),Counter({'plate': 6}),ACCEPT,good job
00022bd050--6376957f56a5a54ced7306dc,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.ebf63fb2-d9fc-43ef-8a29-183c4ee23a63.jpg,plate,yes,Counter({'yes': 6}),Counter({'plate': 6}),ACCEPT,good job
00022bd050--6376958a7c35c13555f3874d,0.5,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.3ded1139-c934-4573-bc1d-abea6d792e69.jpg,other,yes,Counter({'yes': 6}),"Counter({'other': 3, 'glass': 3})",REJECT,doesn't satisfy the requrements
00022bd050--6376958c8cae8c05c81936ac,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.f07aadae-691a-4d91-82d8-27c98e23a7e8.jpg,cup,yes,Counter({'yes': 6}),Counter({'cup': 6}),ACCEPT,good job
00022bd050--6376958caabecc6bd16f7d47,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.0e2af781-efcf-4a0d-ade7-7beb4241c62b.jpg,knife,yes,Counter({'yes': 6}),Counter({'knife': 6}),ACCEPT,good job
00022bd050--63769592838d5353368fe9d0,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.e9f66392-cab0-4de9-934a-622a33ee89b2.jpg,knife,internet,"Counter({'internet': 4, 'yes': 2})",Counter({'knife': 6}),REJECT,doesn't satisfy the requrements
00022bd050--63769596ea9fec14e37afddf,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.1bbe8ae9-c630-4363-88e2-967b9abf9652.jpg,knife,yes,Counter({'yes': 6}),Counter({'knife': 6}),ACCEPT,good job
00022bd050--6376959a7798532317bb2a30,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.bf72e5e1-5974-4f16-a0c5-bafaa06fae9a.jpg,plate,yes,Counter({'yes': 6}),"Counter({'plate': 5, 'cup': 1})",ACCEPT,good job
